SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,6.9909,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",5544,2022-04-06_19h08.56.463,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,11.3126,0,1,1,1,1,"We urge you to try your best and take your time. Each statement will appear on your screen and you will have 10 seconds to decide if it is true or false. You will hear a beep at 6 seconds that will prompt you to respond within the next 4 seconds. If you fail to respond within this time, the trial will be counted as incorrect and the next statement will appear. Press SPACE to continue",5544,2022-04-06_19h08.56.463,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,6.2911,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",5544,2022-04-06_19h08.56.463,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.5348,0,3,3,3,1,Take your time and go slowly! You have 10 seconds to answer! Press SPACE to continue. ,5544,2022-04-06_19h08.56.463,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5544,2022-04-06_19h08.56.463,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,f,1,1.9056,space,1.0008,0,0,0,0,1,A circle is a shape,f,,,,,,,,,,,,,,,,
,,,,,,,,5544,2022-04-06_19h08.56.463,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,j,1,1.3408,space,0.684,0,1,1,5,1,A truck is an animal,j,,,,,,,,,,,,,,,,
,,,,,,,,5544,2022-04-06_19h08.56.463,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,j,1,1.7647,space,0.5439,0,2,2,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,,
,,,,,,,,5544,2022-04-06_19h08.56.463,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,f,1,2.1847,space,0.2542,0,3,3,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,,
,,,,,,,,5544,2022-04-06_19h08.56.463,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,f,0,2.3656,space,0.4521,0,4,4,7,1,The Earth is a star,j,,,,,,,,,,,,,,,,
,,,,,,,,5544,2022-04-06_19h08.56.463,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,j,1,2.2491,space,0.3887,0,5,5,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,,
,,,,,,,,5544,2022-04-06_19h08.56.463,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,f,1,2.1072,space,0.2367,0,6,6,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,,
,,,,,,,,5544,2022-04-06_19h08.56.463,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,j,1,1.0672,space,0.1877,0,7,7,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,,
,,,,,,,,5544,2022-04-06_19h08.56.463,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,f,1,1.3341,space,0.1892,0,8,8,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,,
,,,,,,,,5544,2022-04-06_19h08.56.463,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,f,1,1.3809,space,0.1331,0,9,9,2,1,Magenta is a color,f,,,,,,,,,,,,,,,,
,,,,,,,,5544,2022-04-06_19h08.56.463,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.165,,,,,,,,space,1.3434,j,1,1.5666,,0,0,0,121,1,Jupiter is the planet we live on,j,,,
,,,,,,,,5544,2022-04-06_19h08.56.463,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1755,,,,,,,,,,j,1,1.7891,,0,1,1,16,1,Time is finite,j,,,
,,,,,,,,5544,2022-04-06_19h08.56.463,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1722,,,,,,,,,,j,1,1.0838,,0,2,2,126,1,Humans can breathe water,j,,,
,,,,,,,,5544,2022-04-06_19h08.56.463,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.117,,,,,,,,,,j,0,3.0201,,0,3,3,4,1,A minute cannot go on forever,f,,,
,,,,,,,,5544,2022-04-06_19h08.56.463,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1594,,,,,,,,,,f,1,2.4495,,0,4,4,106,1,Humans cannot breathe water,f,,,
,,,,,,,,5544,2022-04-06_19h08.56.463,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,space,1.5573,,,,,,,,,,j,1,2.7819,,0,5,5,41,1,The number five is infinite,j,,,
,,,,,,,,5544,2022-04-06_19h08.56.463,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1243,,,,,,,,,,j,1,2.3976,,0,6,6,32,1,Numbers are finite,j,,,
,,,,,,,,5544,2022-04-06_19h08.56.463,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.1187,,,,,,,,,,f,1,1.5168,,0,7,7,72,1,Mushrooms reproduce,f,,,
