practicetext,practicecorrect,n,FixcrossPractice.started_mean,FixcrossPractice.started_raw,FixcrossPractice.started_std,FixcrossPractice.stopped_mean,FixcrossPractice.stopped_raw,FixcrossPractice.stopped_std,PracticeText.started_mean,PracticeText.started_raw,PracticeText.started_std,PracticeText.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_mean,key_resp_2.rt_raw,key_resp_2.rt_std,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
A circle is a shape,e,1.0,18.157760620117188,18.157760620117188,0.0,18.609134674072266,18.609134674072266,0.0,18.642290115356445,18.642290115356445,0.0,,1.0,1.0,0.0,'e',0.22879068553447723,0.22879068553447723,0.0,20.141151428222656,20.141151428222656,0.0,,1.0
Dinosaurs are extinct,e,1.0,22.574499130249023,22.574499130249023,0.0,23.026018142700195,23.026018142700195,0.0,23.0596923828125,23.0596923828125,0.0,,1.0,1.0,0.0,'e',0.26542922854423523,0.26542922854423523,0.0,24.559261322021484,24.559261322021484,0.0,,3.0
Magenta is a color,e,1.0,34.209693908691406,34.209693908691406,0.0,34.659889221191406,34.659889221191406,0.0,34.69356155395508,34.69356155395508,0.0,,1.0,1.0,0.0,'e',0.17535042762756348,0.17535042762756348,0.0,36.193565368652344,36.193565368652344,0.0,,8.0
A clock is used to tell time,e,1.0,26.9265193939209,26.9265193939209,0.0,27.37637710571289,27.37637710571289,0.0,27.410140991210938,27.410140991210938,0.0,,1.0,1.0,0.0,'e',0.30237945914268494,0.30237945914268494,0.0,28.90982437133789,28.90982437133789,0.0,,5.0
Humans cannot breathe water,e,1.0,36.41007995605469,36.41007995605469,0.0,36.86054992675781,36.86054992675781,0.0,36.893821716308594,36.893821716308594,0.0,,1.0,1.0,0.0,'e',0.4520665109157562,0.4520665109157562,0.0,38.3935546875,38.3935546875,0.0,,9.0
A truck is an animal,i,1.0,20.391883850097656,20.391883850097656,0.0,20.842161178588867,20.842161178588867,0.0,20.87615394592285,20.87615394592285,0.0,,0.0,0.0,0.0,'e',0.15500977635383606,0.15500977635383606,0.0,22.37474250793457,22.37474250793457,0.0,,2.0
Jupiter is the planet we live on,i,1.0,31.543088912963867,31.543088912963867,0.0,31.99357032775879,31.99357032775879,0.0,32.01034927368164,32.01034927368164,0.0,,0.0,0.0,0.0,'e',0.6648623943328857,0.6648623943328857,0.0,33.527286529541016,33.527286529541016,0.0,,7.0
The Earth is a star,i,1.0,29.259742736816406,29.259742736816406,0.0,29.709875106811523,29.709875106811523,0.0,29.743345260620117,29.743345260620117,0.0,,0.0,0.0,0.0,'e',0.2515055239200592,0.2515055239200592,0.0,31.243553161621094,31.243553161621094,0.0,,6.0
Mississippi is a country,i,1.0,15.892367362976074,15.892367362976074,0.0,16.34164047241211,16.34164047241211,0.0,16.375167846679688,16.375167846679688,0.0,,0.0,0.0,0.0,'e',0.25062498450279236,0.25062498450279236,0.0,17.876331329345703,17.876331329345703,0.0,,0.0
Humans cannot eat food,i,1.0,24.84292984008789,24.84292984008789,0.0,25.292865753173828,25.292865753173828,0.0,25.325944900512695,25.325944900512695,0.0,,0.0,0.0,0.0,'e',0.051165398210287094,0.051165398210287094,0.0,26.8261775970459,26.8261775970459,0.0,,4.0

extraInfo
participant,1
session,001
date,2021_Dec_30_1633
expName,InfinityThesisTest5
psychopyVersion,2021.2.3
frameRate,60.04831079102246
