SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_4.keys,key_resp_4.rt,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_5.rt,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,19.4453,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,6.0637,0,1,1,1,1,"We urge you to try your best and take your time. Each statement will appear on your screen and you will have 10 seconds to decide if it is true or false. You will hear a beep at 6 seconds that will prompt you to respond within the next 4 seconds. If you fail to respond within this time, the trial will be counted as incorrect and the next statement will appear. Press SPACE to continue",6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,23.7172,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.652,0,3,3,3,1,Take your time and go slowly! You have 10 seconds to answer! Press SPACE to continue. ,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,0,space,0.9068,0,0,0,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,0,space,0.9171,0,1,1,5,1,A truck is an animal,j,,,,,,,,,,,,,,,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,j,0,space,0.9407,0,2,2,3,1,A clock is used to tell time,f,2.1724,,,,,,,,,,,,,,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,j,0,space,0.6582,0,3,3,4,1,Humans cannot breathe water,f,5.7781,,,,,,,,,,,,,,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,j,1,space,0.7466,0,4,4,6,1,Jupiter is the planet we live on,j,8.2679,,,,,,,,,,,,,,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,0,space,1.475,0,5,5,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,j,0,space,6.4867,0,6,6,2,1,Magenta is a color,f,1.9797,,,,,,,,,,,,,,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,0,space,4.6611,0,7,7,7,1,The Earth is a star,j,,,,,,,,,,,,,,,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,j,0,space,1.4322,0,8,8,1,1,Dinosaurs are extinct,f,7.7001,,,,,,,,,,,,,,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,j,0,space,0.5526,0,9,9,0,1,A circle is a shape,f,1.5647,,,,,,,,,,,,,,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.835,,,,,,,,,space,11.9791,j,1,2.0896,,0,0,0,121,1,Jupiter is the planet we live on,j,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.5707,,,,,,,,,,,j,0,3.6823,,0,1,1,54,1,Dumbells are composed of matter,f,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.5677,,,,,,,,,,,f,1,2.764,,0,2,2,40,1,The number five is finite,f,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.5375,,,,,,,,,,,j,1,7.0031,,0,3,3,28,1,Space cannot go on forever,j,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.8032,,,,,,,,,,,j,0,1.5647,,0,4,4,90,1,A triangle is not an animal,f,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.5333,,,,,,,,,,,f,1,4.1303,,0,5,5,0,1,A minute is finite,f,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.7791,,,,,,,,,,,j,1,3.514,,0,6,6,116,1,Fish cannot swim in the ocean,j,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.597,,,,,,,,,,,f,1,1.3341,,0,7,7,68,1,Algae is alive,f,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.2613,,,,,,,,,,,f,1,1.2125,,0,8,8,50,1,Turtles need nutrients,f,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.1811,,,,,,,,,,,f,1,1.819,,0,9,9,53,1,Bricks can be put in a container,f,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.1591,,,,,,,,,,,f,1,1.2166,,0,10,10,10,1,An inch has an end,f,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.9639,,,,,,,,,,,j,1,2.3582,,0,11,11,58,1,Clocks are alive,j,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.437,,,,,,,,,,,j,1,2.9424,,0,12,12,11,1,An inch is endless,j,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.427,,,,,,,,,,,f,1,3.0228,,0,13,13,29,1,Space can go on forever,f,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.4099,,,,,,,,,,,j,1,2.5825,,0,14,14,13,1,An inch can go on forever,j,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,3.4396,,,,,,,,,,,j,1,2.0807,,0,15,15,118,1,A horse is used to tell time,j,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.9819,,,,,,,,,,,f,1,3.9576,,0,16,16,8,1,An inch is finite,f,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.4148,,,,,,,,,,,j,1,1.1874,,0,17,17,111,1,A circle is a flavor,j,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.2021,,,,,,,,,,,j,1,1.4065,,0,18,18,26,1,Space has an end,j,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.5505,,,,,,,,,,,j,1,2.2209,,0,19,19,113,1,Magenta is a shape,j,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.7473,,,,,,,,,,,f,1,2.8388,,0,20,20,49,1,Pelicans are alive,f,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.4066,,,,,,,,,,,f,1,1.9956,,0,21,21,99,1,A motorcycle is a vehicle,f,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.4286,,,,,,,,,,,j,1,8.2267,,0,22,22,85,1,Thoughts are composed of matter,j,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.7093,,,,,,,,,,,f,1,1.6704,,0,23,23,95,1,Yellow is a color,f,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.4841,,,,,,,,,,,j,1,8.156,,0,24,24,6,1,A minute cannot always be further divided,j,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.3838,,,,,,,,,,,f,1,1.6991,,0,25,25,23,1,Time can always be further divided,f,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.4821,,,,,,,,,,,j,1,5.8083,,0,26,26,32,1,Numbers are finite,j,,,
,,,,,,,,6238,2022-04-06_18h02.26.725,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,59.59475566,,,space,0.4872,,,,,,,,,,,j,1,6.7977,,0,27,27,62,1,Helicopters reproduce,j,,,
