practicetext,practicecorrect,n,FixcrossPractice.started_mean,FixcrossPractice.started_raw,FixcrossPractice.started_std,FixcrossPractice.stopped_mean,FixcrossPractice.stopped_raw,FixcrossPractice.stopped_std,PracticeText.started_mean,PracticeText.started_raw,PracticeText.started_std,PracticeText.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_mean,key_resp_2.rt_raw,key_resp_2.rt_std,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
A circle is a shape,e,1.0,36.35063552856445,36.35063552856445,0.0,36.80061721801758,36.80061721801758,0.0,36.8337516784668,36.8337516784668,0.0,,1.0,1.0,0.0,'e',0.3104332983493805,0.3104332983493805,0.0,38.335716247558594,38.335716247558594,0.0,,8.0
Dinosaurs are extinct,e,1.0,13.833043098449707,13.833043098449707,0.0,14.283568382263184,14.283568382263184,0.0,14.300353050231934,14.300353050231934,0.0,,1.0,1.0,0.0,'e',0.01274547167122364,0.01274547167122364,0.0,15.815937042236328,15.815937042236328,0.0,,0.0
Magenta is a color,e,1.0,38.66796875,38.66796875,0.0,39.11928176879883,39.11928176879883,0.0,39.15253448486328,39.15253448486328,0.0,,1.0,1.0,0.0,'e',0.4008028507232666,0.4008028507232666,0.0,40.65203094482422,40.65203094482422,0.0,,9.0
A clock is used to tell time,e,1.0,34.201080322265625,34.201080322265625,0.0,34.65019607543945,34.65019607543945,0.0,34.6837043762207,34.6837043762207,0.0,,1.0,1.0,0.0,'e',0.13906177878379822,0.13906177878379822,0.0,36.185184478759766,36.185184478759766,0.0,,7.0
Humans cannot breathe water,e,1.0,23.000877380371094,23.000877380371094,0.0,23.450815200805664,23.450815200805664,0.0,23.483814239501953,23.483814239501953,0.0,,1.0,1.0,0.0,'e',1.3644849061965942,1.3644849061965942,0.0,24.984426498413086,24.984426498413086,0.0,,3.0
A truck is an animal,i,1.0,26.367284774780273,26.367284774780273,0.0,26.81836700439453,26.81836700439453,0.0,26.85097312927246,26.85097312927246,0.0,,0.0,0.0,0.0,'e',0.3634019196033478,0.3634019196033478,0.0,28.351282119750977,28.351282119750977,0.0,,4.0
Jupiter is the planet we live on,i,1.0,18.40057945251465,18.40057945251465,0.0,18.850820541381836,18.850820541381836,0.0,18.883928298950195,18.883928298950195,0.0,,0.0,0.0,0.0,'e',2.570030450820923,2.570030450820923,0.0,20.384532928466797,20.384532928466797,0.0,,2.0
The Earth is a star,i,1.0,28.7348690032959,28.7348690032959,0.0,29.185270309448242,29.185270309448242,0.0,29.21808433532715,29.21808433532715,0.0,,0.0,0.0,0.0,'e',1.200817346572876,1.200817346572876,0.0,30.718589782714844,30.718589782714844,0.0,,5.0
Mississippi is a country,i,1.0,31.96831703186035,31.96831703186035,0.0,32.41836166381836,32.41836166381836,0.0,32.451377868652344,32.451377868652344,0.0,,0.0,0.0,0.0,'e',0.22795280814170837,0.22795280814170837,0.0,33.95148849487305,33.95148849487305,0.0,,6.0
Humans cannot eat food,i,1.0,15.865507125854492,15.865507125854492,0.0,16.317350387573242,16.317350387573242,0.0,16.333772659301758,16.333772659301758,0.0,,0.0,0.0,0.0,'e',0.5075243711471558,0.5075243711471558,0.0,17.849210739135742,17.849210739135742,0.0,,1.0

extraInfo
participant,2
session,001
date,2021_Dec_30_1634
expName,InfinityThesisTest5
psychopyVersion,2021.2.3
frameRate,60.05624964482197
