practicetext,practicecorrect,n,FixcrossPractice.started_mean,FixcrossPractice.started_raw,FixcrossPractice.started_std,FixcrossPractice.stopped_mean,FixcrossPractice.stopped_raw,FixcrossPractice.stopped_std,PracticeText.started_mean,PracticeText.started_raw,PracticeText.started_std,PracticeText.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_mean,key_resp_2.rt_raw,key_resp_2.rt_std,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
A circle is a shape,e,1.0,43.523956298828125,43.523956298828125,0.0,43.97493362426758,43.97493362426758,0.0,44.008487701416016,44.008487701416016,0.0,,1.0,1.0,0.0,'e',1.3127801418304443,1.3127801418304443,0.0,45.50834274291992,45.50834274291992,0.0,,5.0
Dinosaurs are extinct,e,1.0,49.10720443725586,49.10720443725586,0.0,49.55875015258789,49.55875015258789,0.0,49.59126281738281,49.59126281738281,0.0,,1.0,1.0,0.0,'e',0.6555724740028381,0.6555724740028381,0.0,51.09225845336914,51.09225845336914,0.0,,7.0
Magenta is a color,e,1.0,25.99003791809082,25.99003791809082,0.0,26.442455291748047,26.442455291748047,0.0,26.457168579101562,26.457168579101562,0.0,,1.0,1.0,0.0,'e',6.20361328125,6.20361328125,0.0,27.95717430114746,27.95717430114746,0.0,,2.0
A clock is used to tell time,e,1.0,23.306283950805664,23.306283950805664,0.0,23.755388259887695,23.755388259887695,0.0,23.78826141357422,23.78826141357422,0.0,,1.0,1.0,0.0,'e',0.67349773645401,0.67349773645401,0.0,25.273387908935547,25.273387908935547,0.0,,1.0
Humans cannot breathe water,e,1.0,19.922443389892578,19.922443389892578,0.0,20.373123168945312,20.373123168945312,0.0,20.405736923217773,20.405736923217773,0.0,,1.0,1.0,0.0,'e',1.362195611000061,1.362195611000061,0.0,21.90685272216797,21.90685272216797,0.0,,0.0
A truck is an animal,i,1.0,55.49235153198242,55.49235153198242,0.0,55.942134857177734,55.942134857177734,0.0,55.97583770751953,55.97583770751953,0.0,,0.0,0.0,0.0,'e',0.5036302804946899,0.5036302804946899,0.0,57.4759407043457,57.4759407043457,0.0,,9.0
Jupiter is the planet we live on,i,1.0,34.20713424682617,34.20713424682617,0.0,34.65761184692383,34.65761184692383,0.0,34.6742057800293,34.6742057800293,0.0,,0.0,0.0,0.0,'e',3.854982852935791,3.854982852935791,0.0,36.174495697021484,36.174495697021484,0.0,,3.0
The Earth is a star,i,1.0,46.84028625488281,46.84028625488281,0.0,47.29167556762695,47.29167556762695,0.0,47.32484436035156,47.32484436035156,0.0,,0.0,0.0,0.0,'e',0.2528422176837921,0.2528422176837921,0.0,48.82414627075195,48.82414627075195,0.0,,6.0
Mississippi is a country,i,1.0,40.056114196777344,40.056114196777344,0.0,40.50695037841797,40.50695037841797,0.0,40.541683197021484,40.541683197021484,0.0,,0.0,0.0,0.0,'e',1.4517189264297485,1.4517189264297485,0.0,42.04066467285156,42.04066467285156,0.0,,4.0
Humans cannot eat food,i,1.0,51.79161834716797,51.79161834716797,0.0,52.24250793457031,52.24250793457031,0.0,52.275230407714844,52.275230407714844,0.0,,0.0,0.0,0.0,'e',1.6849514245986938,1.6849514245986938,0.0,53.77387619018555,53.77387619018555,0.0,,8.0

extraInfo
participant,1
session,001
date,2021_Dec_30_1637
expName,InfinityThesisTest5
psychopyVersion,2021.2.3
frameRate,59.946681980473734
