SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct
space,11.0726,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",5031,2022-04-06_16h07.07.458,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,
space,11.6141,0,1,1,1,1,"We urge you to try your best and take your time. Each statement will appear on your screen and you will have 10 seconds to decide if it is true or false. You will hear a beep at 6 seconds that will prompt you to respond within the next 4 seconds. If you fail to respond within this time, the trial will be counted as incorrect and the next statement will appear. Press SPACE to continue",5031,2022-04-06_16h07.07.458,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,
space,6.1372,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",5031,2022-04-06_16h07.07.458,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.7112,0,3,3,3,1,Take your time and go slowly! You have 10 seconds to answer! Press SPACE to continue. ,5031,2022-04-06_16h07.07.458,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5031,2022-04-06_16h07.07.458,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,f,1,1.527,space,1.1368,0,0,0,2,1,Magenta is a color,f,,,,,,,,,,,,,
,,,,,,,,5031,2022-04-06_16h07.07.458,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,f,1,1.5852,space,2.5182,0,1,1,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,
,,,,,,,,5031,2022-04-06_16h07.07.458,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,j,1,1.7705,space,0.8402,0,2,2,8,1,Mississippi is a country,j,,,,,,,,,,,,,
,,,,,,,,5031,2022-04-06_16h07.07.458,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,f,1,1.2384,space,0.7,0,3,3,0,1,A circle is a shape,f,,,,,,,,,,,,,
,,,,,,,,5031,2022-04-06_16h07.07.458,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,j,1,1.4302,space,0.694,0,4,4,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,
,,,,,,,,5031,2022-04-06_16h07.07.458,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,j,1,1.6704,space,0.4235,0,5,5,9,1,Humans cannot eat food,j,,,,,,,,,,,,,
,,,,,,,,5031,2022-04-06_16h07.07.458,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,f,1,1.731,space,0.3835,0,6,6,3,1,A clock is used to tell time,f,,,,,,,,,,,,,
,,,,,,,,5031,2022-04-06_16h07.07.458,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,j,1,1.3549,space,0.3661,0,7,7,7,1,The Earth is a star,j,,,,,,,,,,,,,
,,,,,,,,5031,2022-04-06_16h07.07.458,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,j,1,1.3183,space,0.4355,0,8,8,5,1,A truck is an animal,j,,,,,,,,,,,,,
,,,,,,,,5031,2022-04-06_16h07.07.458,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,j,0,1.0667,space,0.8613,0,9,9,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,
,,,,,,,,5031,2022-04-06_16h07.07.458,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,space,1.9333,,,,,,,,space,8.546,f,1,1.5188,,0,0,0,25,1,Space is infinite,f
,,,,,,,,5031,2022-04-06_16h07.07.458,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,space,2.5437,,,,,,,,,,f,0,1.8508,,0,1,1,24,1,Space is finite,j
,,,,,,,,5031,2022-04-06_16h07.07.458,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,space,2.9536,,,,,,,,,,j,0,1.7978,,0,2,2,40,1,The number five is finite,f
,,,,,,,,5031,2022-04-06_16h07.07.458,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.5182,,,,,,,,,,j,1,1.6047,,0,3,3,61,1,Sailboats reproduce,j
,,,,,,,,5031,2022-04-06_16h07.07.458,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.4565,,,,,,,,,,f,1,1.7481,,0,4,4,39,1,Numbers can always be further divided,f
,,,,,,,,5031,2022-04-06_16h07.07.458,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.517,,,,,,,,,,j,0,2.7177,,0,5,5,44,1,The number five cannot go on forever,f
,,,,,,,,5031,2022-04-06_16h07.07.458,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.2708,,,,,,,,,,f,1,2.0901,,0,6,6,4,1,A minute cannot go on forever,f
,,,,,,,,5031,2022-04-06_16h07.07.458,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,59.99880002,,,,space,0.2491,,,,,,,,,,f,0,1.7006,,0,7,7,32,1,Numbers are finite,j
