SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,11.3385,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",2568,2022-04-06_19h03.19.501,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.10337781,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,8.9551,0,1,1,1,1,"We urge you to try your best and take your time. Each statement will appear on your screen and you will have 10 seconds to decide if it is true or false. You will hear a beep at 6 seconds that will prompt you to respond within the next 4 seconds. If you fail to respond within this time, the trial will be counted as incorrect and the next statement will appear. Press SPACE to continue",2568,2022-04-06_19h03.19.501,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.10337781,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,15.0157,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",2568,2022-04-06_19h03.19.501,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.10337781,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.5776,0,3,3,3,1,Take your time and go slowly! You have 10 seconds to answer! Press SPACE to continue. ,2568,2022-04-06_19h03.19.501,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.10337781,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2568,2022-04-06_19h03.19.501,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.10337781,f,1,1.0245,space,1.3584,0,0,0,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,,
,,,,,,,,2568,2022-04-06_19h03.19.501,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.10337781,j,1,1.5668,space,0.9209,0,1,1,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,,
,,,,,,,,2568,2022-04-06_19h03.19.501,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.10337781,f,0,1.8833,space,1.0788,0,2,2,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,,
,,,,,,,,2568,2022-04-06_19h03.19.501,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.10337781,f,1,1.1835,space,0.9862,0,3,3,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,,
,,,,,,,,2568,2022-04-06_19h03.19.501,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.10337781,j,1,1.6834,space,1.0336,0,4,4,5,1,A truck is an animal,j,,,,,,,,,,,,,,,,
,,,,,,,,2568,2022-04-06_19h03.19.501,ImplicitInfinitySC-SLOWTASK,2021.2.3,Win32,60.10337781,j,0,1.1668,space,0.7837,0,5,5,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,,
