SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,SlowInstrLoop.ran,SlowInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,slowpracticeloop.thisRepN,slowpracticeloop.thisTrialN,slowpracticeloop.thisN,slowpracticeloop.thisIndex,slowpracticeloop.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,SlowKey.keys,SlowKey.corr,SlowKey.rt,encouragekey.keys,SlowLoop.thisRepN,SlowLoop.thisTrialN,SlowLoop.thisN,SlowLoop.thisIndex,SlowLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
space,4.2152,0,0,0,0,1,"You will be shown a total of 80 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 80 statements.  Press SPACE to Continue",8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,1.8697,0,1,1,1,1,"We urge you to try your best and take your time. Each statement will appear on your screen and you will have 10 seconds to decide if it is true or false. You will hear a beep at 6 seconds that will prompt you to respond within the next 4 seconds. If you fail to respond within this time, the trial will be counted as incorrect and the next statement will appear. Press SPACE to continue",8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,4.1045,0,2,2,2,1,"If the statement is true, you will press the “F” key on your keyboard with your left pointer finger; if the statement is false, you will press the “J” key on your keyboard with your right pointer finger. Press SPACE to continue",8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,0.2328,0,3,3,3,1,Take your time and go slowly! You have 10 seconds to answer! Press SPACE to continue. ,8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,j,1,1.0308,space,0.5856,0,0,0,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,,,
,,,,,,,,8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,j,1,0.7972,space,0.2719,0,1,1,5,1,A truck is an animal,j,,,,,,,,,,,,,,,,
,,,,,,,,8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,f,1,0.7884,space,0.2218,0,2,2,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,,,
,,,,,,,,8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,j,1,0.8151,space,0.2218,0,3,3,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,,,
,,,,,,,,8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,j,0,0.8467,space,0.2767,0,4,4,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,,
,,,,,,,,8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,f,1,0.865,space,0.2177,0,5,5,0,1,A circle is a shape,f,,,,,,,,,,,,,,,,
,,,,,,,,8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,f,0,0.5838,space,0.6814,0,6,6,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,,
,,,,,,,,8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,f,1,0.7357,space,0.2363,0,7,7,2,1,Magenta is a color,f,,,,,,,,,,,,,,,,
,,,,,,,,8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,f,1,0.7735,space,0.2205,0,8,8,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,,
,,,,,,,,8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,j,1,1.1006,space,0.2436,0,9,9,7,1,The Earth is a star,j,,,,,,,,,,,,,,,,
,,,,,,,,8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.1968,,,,,,,,space,0.9328,j,1,0.826,,0,0,0,59,1,Comets are alive,j,,,
,,,,,,,,8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.2278,,,,,,,,,,f,0,1.1683,,0,1,1,65,1,Shadows are composed of matter,j,,,
,,,,,,,,8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.2492,,,,,,,,,,f,1,0.883,,0,2,2,98,1,A clock is used to tell time,f,,,
,,,,,,,,8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.2063,,,,,,,,,,j,1,0.7946,,0,3,3,116,1,Fish cannot swim in the ocean,j,,,
,,,,,,,,8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.2541,,,,,,,,,,j,1,1.3382,,0,4,4,24,1,Space is finite,j,,,
,,,,,,,,8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.1552,,,,,,,,,,j,1,1.9024,,0,5,5,14,1,An inch cannot always be further divided,j,,,
,,,,,,,,8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.1358,,,,,,,,,,f,1,1.2535,,0,6,6,68,1,Algae is alive,f,,,
,,,,,,,,8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.148,,,,,,,,,,f,1,1.0684,,0,7,7,17,1,Time is infinite,f,,,
,,,,,,,,8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.1553,,,,,,,,,,j,1,1.6572,,0,8,8,60,1,Robots need nutrients,j,,,
,,,,,,,,8215,2022-04-06_19h14.00.640,ImplicitInfinitySC-SLOWTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.1361,,,,,,,,,,f,1,1.2856,,0,9,9,25,1,Space is infinite,f,,,
